Gene ID	P value	avg_log(Foldchange)	pct.1 (enriched cluster)	pct.2 (other clusters)	adjusted P value	cluster
LOC-Os04g40700	1.50E-44	0.313995547	0.463	0.146	5.90E-40	endodermis
LOC-Os03g32790	1.55E-44	0.340925023	0.491	0.168	6.09E-40	endodermis
LOC-Os10g32970	2.70E-44	0.512134151	0.758	0.461	1.06E-39	endodermis
LOC-Os04g49550	3.66E-44	0.32019547	0.477	0.155	1.44E-39	endodermis
LOC-Os11g076801	4.25E-44	0.399658899	0.379	0.112	1.67E-39	endodermis
LOC-Os04g390201	1.58E-43	0.39418978	0.719	0.323	6.21E-39	endodermis
LOC-Os10g34540	1.63E-43	0.390130722	0.747	0.383	6.40E-39	endodermis
LOC-Os02g06760	1.68E-43	0.255048839	0.379	0.108	6.59E-39	endodermis
LOC-Os01g68890	3.33E-43	1.058539382	0.607	0.291	1.31E-38	endodermis
LOC-Os08g39290	3.35E-43	0.280529522	0.211	0.04	1.32E-38	endodermis
LOC-Os07g01990	7.61E-43	0.428442992	0.779	0.43	2.98E-38	endodermis
LOC-Os02g028901	1.65E-42	0.679484076	0.719	0.376	6.49E-38	endodermis
LOC-Os01g37980	4.14E-42	0.362030759	0.579	0.232	1.63E-37	endodermis
LOC-Os04g32550	7.96E-42	0.525977833	0.782	0.46	3.12E-37	endodermis
LOC-Os02g35000	1.19E-41	0.280929481	0.428	0.14	4.67E-37	endodermis
LOC-Os06g02220	1.44E-41	0.319435608	0.6	0.239	5.65E-37	endodermis
LOC-Os01g72430	1.53E-41	0.557472701	0.804	0.508	6.02E-37	endodermis
LOC-Os03g10200	1.83E-41	0.270401806	0.498	0.178	7.17E-37	endodermis
LOC-Os10g42090	1.98E-41	0.258720841	0.488	0.169	7.78E-37	endodermis
LOC-Os11g40140	2.72E-41	0.545076459	0.86	0.594	1.07E-36	endodermis
LOC-Os02g20850	4.50E-41	0.33431116	0.414	0.13	1.76E-36	endodermis
LOC-Os03g61810	4.58E-41	0.43811275	0.375	0.118	1.79E-36	endodermis
LOC-Os10g09684	7.12E-41	0.289305493	0.291	0.074	2.79E-36	endodermis
LOC-Os05g506541	9.92E-41	0.335544558	0.768	0.351	3.89E-36	endodermis
LOC-Os03g08710	3.58E-40	0.252992363	0.491	0.17	1.41E-35	endodermis
LOC-Os02g52940	1.06E-39	0.284861787	0.505	0.191	4.15E-35	endodermis
LOC-Os04g40680	1.10E-39	0.284727613	0.414	0.131	4.32E-35	endodermis
LOC-Os04g546201	1.30E-39	0.432784242	0.354	0.103	5.11E-35	endodermis
LOC-Os02g07110	1.75E-39	0.458612071	0.375	0.116	6.85E-35	endodermis
LOC-Os04g38950	1.18E-38	0.299797332	0.463	0.159	4.62E-34	endodermis
LOC-Os01g16640	1.38E-38	0.467115835	0.849	0.59	5.43E-34	endodermis
LOC-Os04g49424	1.46E-38	0.583686168	0.204	0.042	5.73E-34	endodermis
LOC-Os04g32110	3.61E-38	0.327717011	0.4	0.131	1.42E-33	endodermis
LOC-Os01g73140	4.25E-38	0.511736283	0.818	0.562	1.67E-33	endodermis
LOC-Os01g59440	1.54E-37	0.486174075	0.993	0.982	6.04E-33	endodermis
LOC-Os06g16270	2.26E-37	0.35661864	0.646	0.309	8.85E-33	endodermis
LOC-Os02g42320	3.41E-37	0.462701452	0.863	0.642	1.34E-32	endodermis
LOC-Os01g16146	4.21E-37	0.296391001	0.502	0.191	1.65E-32	endodermis
LOC-Os03g48930	5.11E-37	0.438888291	0.93	0.772	2.01E-32	endodermis
LOC-Os08g17060	6.26E-37	0.270054289	0.519	0.198	2.45E-32	endodermis
LOC-Os07g317201	6.46E-37	0.50604402	0.649	0.294	2.53E-32	endodermis
LOC-Os01g40650	1.74E-36	0.443138605	0.905	0.707	6.84E-32	endodermis
LOC-Os02g09140	1.77E-36	0.286126233	0.491	0.192	6.94E-32	endodermis
LOC-Os09g37910	2.05E-36	0.497436386	0.519	0.201	8.04E-32	endodermis
LOC-Os12g01530	4.50E-36	0.347585349	0.498	0.188	1.77E-31	endodermis
LOC-Os08g30730	4.56E-36	0.398529191	0.463	0.184	1.79E-31	endodermis
LOC-Os08g31228	8.66E-36	0.407137743	0.828	0.57	3.40E-31	endodermis
LOC-Os09g32320	2.04E-35	0.309285964	0.256	0.066	7.98E-31	endodermis
LOC-Os05g41210	5.74E-35	0.784349587	0.846	0.621	2.25E-30	endodermis
LOC-Os06g06900	6.02E-35	0.260793082	0.491	0.179	2.36E-30	endodermis
LOC-Os04g47690	6.96E-35	0.385953872	0.87	0.58	2.73E-30	endodermis
LOC-Os06g07040	8.46E-35	0.57697819	0.758	0.392	3.32E-30	endodermis
LOC-Os01g05650	8.64E-35	0.653837707	0.319	0.097	3.39E-30	endodermis
LOC-Os03g24920	9.24E-35	0.38951984	0.793	0.499	3.63E-30	endodermis
LOC-Os01g56450	9.88E-35	0.480326041	0.309	0.091	3.88E-30	endodermis
LOC-Os01g152901	1.03E-34	0.359824839	0.811	0.487	4.05E-30	endodermis
LOC-Os10g37420	1.06E-34	0.384207978	0.937	0.817	4.15E-30	endodermis
LOC-Os02g43760	1.10E-34	0.276230184	0.575	0.241	4.31E-30	endodermis
LOC-Os08g43580	2.46E-34	0.509112966	0.884	0.671	9.66E-30	endodermis
LOC-Os06g06030	2.63E-34	0.43303516	0.923	0.751	1.03E-29	endodermis
LOC-Os02g50960	3.46E-34	0.342430371	0.632	0.288	1.36E-29	endodermis
LOC-Os10g33800	3.93E-34	0.539293942	0.94	0.826	1.54E-29	endodermis
LOC-Os02g43930	5.87E-34	0.358204318	0.681	0.351	2.30E-29	endodermis
LOC-Os09g266701	6.77E-34	0.607474278	0.561	0.266	2.66E-29	endodermis
LOC-Os05g09490	6.90E-34	0.445827069	0.891	0.708	2.71E-29	endodermis
